#temp, ph, pc, i, d, max_output%
500.000000,95.711693, 0,6.969000,0.775882,25.000000
600.000000,100.270752, 0,5.605500,0.624079,25.000000
700.000000,135.981964,0,5.302500,0.590345,35.000000
800.000000,164.484482,0,4.999500,0.556611,40.000000
900.000000,164.484482,0,4.999500,0.556611,50.000000
1000.000000,164.484482,0,4.999500,0.556611,60.000000
1100.000000,164.484482,0,4.999500,0.556611,70.000000

#500.000000,865.579712,0,23.950500,2.666489, 1
#600.000000,781.781799,0,14.549999,1.619900, 40
#500.000000,1093.584106,0,23.944500,2.665821, 30.00000
#600.000000,1093.584106,0,23.944500,4,20.00000
#700.000000,1093.584106,0,23.944500,4,15.00000
#600.000000,979.702148,0,14.248499,1.586333, 20.000000
#700.000000,662.848206,0,9.096001,1.012688, 50
#800.000000,664.068237,0,7.275000,0.809950, 10
#900.000000,560.244080,0,5.305500,0.590679, 70
#1000.00000,521.435486,0,4.395000,0.489310, 80
#1200.000000,1093.584106,0,23.944500,2.665821, 98
